[<_MainThread(MainThread, started 37472)>]
stream closed? idk girl
Listening (audio thread)...
         340212 function calls (315214 primitive calls) in 22.181 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1571(__init__)
      359    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       41    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1460(_path_hooks)
       28    0.000    0.000    0.000    0.000 rules.py:769(_parts)
      135    0.000    0.000    0.000    0.000 typing.py:2510(overload)
      393    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
    81/42    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      392    0.000    0.000    0.000    0.000 typing_extensions.py:2976(_is_unpacked_typevartuple)
      166    0.000    0.000    0.000    0.000 <frozen ntpath>:179(splitroot)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
      140    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
        6    0.000    0.000    0.008    0.001 exceptions.py:1(<module>)
        2    0.000    0.000    0.127    0.063 app.py:1(<module>)
      598    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       87    0.000    0.000    0.000    0.000 dataclasses.py:701(_is_type)
   108/82    0.000    0.000    0.000    0.000 _compiler.py:441(_get_literal_prefix)
     16/6    0.000    0.000    0.001    0.000 inspect.py:2501(_signature_from_callable)
       78    0.000    0.000    0.000    0.000 <frozen ntpath>:107(join)
      357    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      296    0.000    0.000    0.001    0.000 typing.py:317(_deduplicate)
      464    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      208    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       85    0.000    0.000    0.000    0.000 {method 'set' of '_contextvars.ContextVar' objects}
      968    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       43    0.000    0.000    0.000    0.000 typing.py:361(_flatten_literal_params)
        8    0.000    0.000    0.001    0.000 typing.py:2888(__new__)
      317    0.000    0.000    0.000    0.000 function_base.py:483(_add_docstring)
      345    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
    49/13    0.000    0.000    0.002    0.000 typing.py:1294(__getitem__)
    343/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
      605    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      378    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      123    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
       58    0.000    0.000    0.002    0.000 typing.py:1560(__getitem_inner__)
        3    0.000    0.000    0.040    0.013 request.py:1(<module>)
      210    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        6    0.000    0.000    0.000    0.000 getlimits.py:34(__init__)
        3    0.000    0.000    0.002    0.001 util.py:55(find_library)
      592    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.016    0.016 numerictypes.py:1(<module>)
      294    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      118    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      816    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      906    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      107    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      317    0.000    0.000    0.000    0.000 function_base.py:465(_needs_add_docstring)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
       41    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1689(path_hook_for_FileFinder)
      216    0.000    0.000    0.000    0.000 _compiler.py:403(_simple)
        1    0.000    0.000    0.004    0.004 compiler.py:1(<module>)
        1    0.000    0.000    0.015    0.015 test.py:1(<module>)
      605    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.001    0.001 getlimits.py:162(_register_known_types)
       37    0.000    0.000    0.000    0.000 utils.py:78(__init__)
      397    0.000    0.000    0.000    0.000 _parser.py:83(groups)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
    49/13    0.000    0.000    0.002    0.000 typing.py:1326(_determine_new_args)
        1    0.000    0.000    0.002    0.002 quoprimime.py:1(<module>)
       29    0.000    0.000    0.000    0.000 dataclasses.py:760(_get_field)
       16    0.000    0.000    0.000    0.000 __init__.py:396(__getitem__)
      586    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       87    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
      243    0.000    0.000    0.000    0.000 types.py:192(__init__)
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        2    0.000    0.000    0.005    0.002 http.py:1(<module>)
        1    0.000    0.000    0.020    0.020 cli.py:1(<module>)
        1    0.000    0.000    0.006    0.006 socket.py:1(<module>)
      509    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      330    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
       89    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      210    0.000    0.000    0.000    0.000 enum.py:1123(__new__)
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       68    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
       85    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
       88    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
       35    0.000    0.000    0.001    0.000 ipaddress.py:2256(__init__)
       89    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
       12    0.000    0.000    0.000    0.000 typing.py:1999(__init_subclass__)
        1    0.000    0.000    0.005    0.005 lexer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _io.open}
        7    0.000    0.000    0.003    0.000 rules.py:699(compile)
        1    0.000    0.000    0.259    0.259 sounddevice.py:1(<module>)
       68    0.000    0.000    0.000    0.000 _compiler.py:472(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 lexer.py:319(TokenStream)
       19    0.000    0.000    0.001    0.000 rules.py:300(_prefix_names)
        1    0.000    0.000    0.002    0.002 environment.py:144(Environment)
       85    0.000    0.000    0.000    0.000 sounddevice.py:1925(__bool__)
        1    0.000    0.000    0.005    0.005 types.py:1(<module>)
        6    0.000    0.000    0.000    0.000 inspect.py:2397(_signature_from_function)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
       22    0.000    0.000    0.000    0.000 rules.py:606(_parse_rule)
        1    0.000    0.000    0.003    0.003 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _array_like.py:1(<module>)
       85    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.008    0.008 multiarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x000001AA46D6F740}
        1    0.000    0.000    0.938    0.938 sounddevice.py:852(callback_ptr)
      308    0.000    0.000    0.000    0.000 typing.py:971(__hash__)
        1    0.000    0.000    0.005    0.005 ssl.py:1(<module>)
      381    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       50    0.000    0.000    0.000    0.000 _internal.py:872(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
    81/42    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        9    0.000    0.000    0.000    0.000 typing.py:1753(_get_protocol_attrs)
      317    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
       36    0.000    0.000    0.000    0.000 getlimits.py:111(_float_to_str)
        1    0.000    0.000    0.002    0.002 _compat.py:1(<module>)
       95    0.000    0.000    0.000    0.000 enum.py:779(__delattr__)
        1    0.000    0.000    0.000    0.000 sounddevice.py:2686(_get_stream_parameters)
        1    0.000    0.000    0.014    0.014 _type_aliases.py:1(<module>)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2507(extend_all)
      225    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
      534    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.001    0.001 compiler.py:300(CodeGenerator)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:360(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 local.py:388(LocalProxy)
      231    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.002    0.002 _dtype_like.py:1(<module>)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      164    0.000    0.000    0.000    0.000 http.py:1224(<genexpr>)
      325    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1157(__init__)
        3    0.000    0.000    0.001    0.000 response.py:1(<module>)
       58    0.000    0.000    0.001    0.000 typing.py:1542(copy_with)
        1    0.000    0.000    0.015    0.015 linalg.py:1(<module>)
      166    0.000    0.000    0.000    0.000 typing_extensions.py:2916(_check_generic)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
      178    0.000    0.000    0.000    0.000 _compiler.py:575(isstring)
       31    0.000    0.000    0.000    0.000 <frozen os>:709(__getitem__)
        8    0.000    0.000    0.001    0.000 dataclasses.py:568(_init_fn)
       15    0.000    0.000    0.000    0.000 core.py:2515(__init__)
